model_class,field_observer_model,engineer_model,postmortem,random_seed,easy_rounds,round_time_budget_seconds,n,mean_success_fraction,std_success_fraction,min_success_fraction,max_success_fraction,mean_success_count
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,150,5,0.08,0.049888765156985884,0.0,0.13333333333333333,1.2
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,250,5,0.17333333333333334,0.07999999999999999,0.06666666666666667,0.26666666666666666,2.6
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,450,5,0.42666666666666664,0.13063945294843615,0.2,0.6,6.4
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,800,5,0.7066666666666667,0.0679869268479038,0.6,0.8,10.6
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,2000,5,0.9333333333333333,0.059628479399994376,0.8666666666666667,1.0,14.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,150,3,0.26666666666666666,0.05443310539518172,0.2,0.3333333333333333,4.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,250,3,0.24444444444444446,0.11331154474650633,0.13333333333333333,0.4,3.6666666666666665
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,450,3,0.4222222222222222,0.08314794192830981,0.3333333333333333,0.5333333333333333,6.333333333333333
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,800,3,0.4888888888888889,0.13698697784375502,0.3333333333333333,0.6666666666666666,7.333333333333333
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,2000,3,0.8222222222222223,0.03142696805273544,0.8,0.8666666666666667,12.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,150,3,0.044444444444444446,0.06285393610547088,0.0,0.13333333333333333,0.6666666666666666
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,250,3,0.26666666666666666,0.09428090415820632,0.13333333333333333,0.3333333333333333,4.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,450,3,0.5555555555555556,0.17497795275581804,0.4,0.8,8.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,800,3,0.7111111111111111,0.03142696805273544,0.6666666666666666,0.7333333333333333,10.666666666666666
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,2000,3,0.8666666666666667,0.14401645996461915,0.6666666666666666,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,150,5,0.2666666666666667,0.28284271247461906,0.0,0.8,4.0
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,250,5,0.5066666666666666,0.2585429257288709,0.13333333333333333,0.8,7.6
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,450,4,0.5166666666666666,0.22298480267099421,0.26666666666666666,0.8666666666666667,7.75
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,800,5,0.9466666666666667,0.04988876515698587,0.8666666666666667,1.0,14.2
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,2000,5,0.8666666666666666,0.26666666666666666,0.3333333333333333,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,150,3,0.31111111111111106,0.2454524670486058,0.0,0.6,4.666666666666667
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,250,3,0.3333333333333333,0.19626135258506328,0.06666666666666667,0.5333333333333333,5.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,450,3,0.6888888888888888,0.06285393610547088,0.6,0.7333333333333333,10.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,800,3,0.8666666666666667,0.14401645996461912,0.6666666666666666,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,2000,3,1.0,0.0,1.0,1.0,15.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,150,3,0.3333333333333333,0.10886621079036347,0.2,0.4666666666666667,5.0
