model_class,model,postmortem,round_time_budget_seconds,n,mean_success_fraction,std_success_fraction,min_success_fraction,max_success_fraction,mean_success_count
closed,claude-opus-4-7,False,150,3,0.1111111111111111,0.03142696805273545,0.06666666666666667,0.13333333333333333,1.6666666666666667
closed,claude-opus-4-7,False,250,2,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,4.0
closed,claude-opus-4-7,False,450,1,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,7.0
closed,claude-opus-4-7,False,800,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,10.0
closed,claude-opus-4-7,False,2000,3,0.9555555555555556,0.06285393610547088,0.8666666666666667,1.0,14.333333333333334
closed,claude-opus-4-7,True,150,3,0.2888888888888889,0.3624334762288909,0.0,0.8,4.333333333333333
closed,claude-opus-4-7,True,450,3,0.6666666666666666,0.05443310539518172,0.6,0.7333333333333333,10.0
closed,claude-opus-4-7,True,800,3,0.888888888888889,0.03142696805273544,0.8666666666666667,0.9333333333333333,13.333333333333334
closed,claude-opus-4-7,True,2000,3,0.7111111111111111,0.03142696805273544,0.6666666666666666,0.7333333333333333,10.666666666666666
closed,claude-sonnet-4-6,False,150,4,0.05,0.055277079839256664,0.0,0.13333333333333333,0.75
closed,claude-sonnet-4-6,False,250,3,0.19999999999999998,0.05443310539518174,0.13333333333333333,0.26666666666666666,3.0
closed,claude-sonnet-4-6,False,450,2,0.3666666666666667,0.16666666666666666,0.2,0.5333333333333333,5.5
closed,claude-sonnet-4-6,False,800,2,0.8666666666666667,0.0,0.8666666666666667,0.8666666666666667,13.0
closed,claude-sonnet-4-6,False,2000,2,0.6333333333333333,0.30000000000000004,0.3333333333333333,0.9333333333333333,9.5
closed,claude-sonnet-4-6,True,150,4,0.11666666666666667,0.16583123951776998,0.0,0.4,1.75
closed,claude-sonnet-4-6,True,250,2,0.3666666666666667,0.033333333333333354,0.3333333333333333,0.4,5.5
closed,claude-sonnet-4-6,True,450,3,0.7555555555555555,0.11331154474650636,0.6,0.8666666666666667,11.333333333333334
closed,claude-sonnet-4-6,True,800,3,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0,14.333333333333334
closed,claude-sonnet-4-6,True,2000,2,0.8666666666666667,0.06666666666666665,0.8,0.9333333333333333,13.0
closed,gpt-5.4,False,150,4,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.5
closed,gpt-5.4,False,250,5,0.17333333333333334,0.09043106644167023,0.06666666666666667,0.3333333333333333,2.6
closed,gpt-5.4,False,450,5,0.4533333333333333,0.07774602526460399,0.4,0.6,6.8
closed,gpt-5.4,False,800,3,0.8222222222222223,0.03142696805273544,0.8,0.8666666666666667,12.333333333333334
closed,gpt-5.4,False,2000,2,0.9666666666666667,0.033333333333333326,0.9333333333333333,1.0,14.5
closed,gpt-5.4,True,150,1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,1.0
closed,gpt-5.4,True,250,2,0.19999999999999998,0.13333333333333333,0.06666666666666667,0.3333333333333333,3.0
closed,gpt-5.4,True,450,2,0.7666666666666666,0.10000000000000003,0.6666666666666666,0.8666666666666667,11.5
closed,gpt-5.4,True,800,3,1.0,0.0,1.0,1.0,15.0
closed,gpt-5.4,True,2000,1,1.0,0.0,1.0,1.0,15.0
open,Qwen/Qwen3-32B,False,150,4,0.0,0.0,0.0,0.0,0.0
open,Qwen/Qwen3-32B,False,250,4,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.5
open,Qwen/Qwen3-32B,False,450,4,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.5
open,Qwen/Qwen3-32B,False,800,2,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,1.0
open,Qwen/Qwen3-32B,False,2000,5,0.1733333333333333,0.13063945294843618,0.06666666666666667,0.3333333333333333,2.6
open,Qwen/Qwen3-32B,True,250,1,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,2.0
open,Qwen/Qwen3-32B,True,450,2,0.1,0.03333333333333333,0.06666666666666667,0.13333333333333333,1.5
open,Qwen/Qwen3-32B,True,800,1,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,2.0
open,Qwen/Qwen3-32B,True,2000,2,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,1.0
open,meta-llama/Llama-3.3-70B-Instruct,False,150,5,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,False,250,5,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,False,450,5,0.08,0.02666666666666667,0.06666666666666667,0.13333333333333333,1.2
open,meta-llama/Llama-3.3-70B-Instruct,False,800,5,0.27999999999999997,0.11469767022723502,0.13333333333333333,0.4666666666666667,4.2
open,meta-llama/Llama-3.3-70B-Instruct,False,2000,5,0.5599999999999999,0.03265986323710904,0.5333333333333333,0.6,8.4
open,meta-llama/Llama-3.3-70B-Instruct,True,150,6,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,True,250,7,0.03809523809523809,0.06998542122237653,0.0,0.2,0.5714285714285714
open,meta-llama/Llama-3.3-70B-Instruct,True,450,10,0.24666666666666667,0.05999999999999999,0.13333333333333333,0.3333333333333333,3.7
open,meta-llama/Llama-3.3-70B-Instruct,True,800,9,0.34074074074074073,0.037770514915502124,0.26666666666666666,0.4,5.111111111111111
open,meta-llama/Llama-3.3-70B-Instruct,True,2000,10,0.6733333333333333,0.12092238098144704,0.4666666666666667,0.8666666666666667,10.1
