run_id,scenario,model,model_class,postmortem,round_time_budget_seconds,total_rounds,round_success_count,round_success_fraction,labels
veyru/1777369623,veyru,claude-opus-4-7,closed,False,150,15,2,0.13333333333333333,baseline|budget=150|single_team
veyru/1777370859,veyru,claude-opus-4-7,closed,False,150,15,2,0.13333333333333333,baseline|budget=150|single_team
veyru/1777371113,veyru,claude-opus-4-7,closed,False,150,15,1,0.06666666666666667,baseline|budget=150|single_team
veyru/1777376386,veyru,claude-opus-4-7,closed,False,250,15,4,0.26666666666666666,baseline|budget=250|single_team
veyru/1777377291,veyru,claude-opus-4-7,closed,False,250,15,4,0.26666666666666666,baseline|budget=250|single_team
veyru/1777381834,veyru,claude-opus-4-7,closed,False,450,15,7,0.4666666666666667,baseline|budget=450|single_team
veyru/1780431195,veyru,claude-opus-4-7,closed,False,800,15,10,0.6666666666666666,baseline|budget=800|single_team|supersedes:veyru/1777384529
veyru/1777389523,veyru,claude-opus-4-7,closed,False,2000,15,15,1.0,baseline|budget=2000
veyru/1777389528,veyru,claude-opus-4-7,closed,False,2000,15,13,0.8666666666666667,baseline|budget=2000
veyru/1777390451,veyru,claude-opus-4-7,closed,False,2000,15,15,1.0,baseline|budget=2000
veyru/1780427522,veyru,claude-opus-4-7,closed,True,150,15,12,0.8,baseline|budget=150|single_team|supersedes:veyru/1777367724
veyru/1780427833,veyru,claude-opus-4-7,closed,True,150,15,1,0.06666666666666667,baseline|budget=150|single_team|supersedes:veyru/1777367724_2
veyru/1780428014,veyru,claude-opus-4-7,closed,True,150,15,0,0.0,baseline|budget=150|single_team|supersedes:veyru/1777369295
veyru/1780428494,veyru,claude-opus-4-7,closed,True,450,15,11,0.7333333333333333,baseline|budget=450|single_team|supersedes:veyru/1777377701
veyru/1780429635,veyru,claude-opus-4-7,closed,True,450,15,10,0.6666666666666666,baseline|budget=450|single_team|supersedes:veyru/1777377808
veyru/1780430049,veyru,claude-opus-4-7,closed,True,450,15,9,0.6,baseline|budget=450|single_team|supersedes:veyru/1777380361_2
veyru/1777383895,veyru,claude-opus-4-7,closed,True,800,15,13,0.8666666666666667,baseline|budget=800|single_team
