src_id,field_observer_model,engineer_model,model_class,round_time_budget_seconds,baseline_round_success_fraction,cross_family_observer,n_expected,expected_mean,expected_std,n_expected_no_pm,expected_no_pm_mean,expected_no_pm_std,n_learned,learned_mean,learned_std,n_cross_family,cross_family_mean,cross_family_std,delta
veyru/1780476985,claude-opus-4-7,claude-opus-4-7,closed,250,0.5333333333333333,gpt54,3,0.18181818181818182,0.1574591643244434,3,0.24242424242424243,0.1049727762162956,9,0.15151515151515152,0.09090909090909091,3,0.12121212121212122,0.0524863881081478,-0.09090909090909091
veyru/1780478385,claude-opus-4-7,claude-opus-4-7,closed,250,0.3333333333333333,gpt54,3,0.0,0.0,3,0.030303030303030304,0.0524863881081478,9,0.0,0.0,3,0.15151515151515152,0.0524863881081478,-0.030303030303030304
veyru/1780478844,claude-opus-4-7,claude-opus-4-7,closed,250,0.7333333333333333,gpt54,3,0.5454545454545454,0.09090909090909091,3,0.45454545454545453,0.09090909090909088,9,0.4444444444444444,0.1153905016039986,3,0.5454545454545454,0.09090909090909091,-0.01010101010101011
veyru/1780478990,claude-opus-4-7,claude-opus-4-7,closed,250,0.3333333333333333,gpt54,3,0.36363636363636365,0.0,3,0.36363636363636365,0.0,9,0.23232323232323232,0.08017428215347244,3,0.2727272727272727,0.1574591643244434,-0.13131313131313133
veyru/1780480309,claude-opus-4-7,claude-opus-4-7,closed,250,0.7333333333333333,gpt54,3,0.9696969696969697,0.05248638810814781,3,0.9393939393939393,0.05248638810814781,9,0.4444444444444444,0.18984794069911617,3,0.42424242424242425,0.10497277621629557,-0.4949494949494949
veyru/1780650332,claude-opus-4-7,claude-opus-4-7,closed,250,0.6666666666666666,gpt54,3,0.6363636363636364,0.09090909090909094,3,0.5757575757575757,0.05248638810814781,9,0.3434343434343434,0.09935512915609092,3,0.3333333333333333,0.20994555243259116,-0.23232323232323226
veyru/1780651882,claude-opus-4-7,claude-opus-4-7,closed,250,0.4666666666666667,gpt54,3,0.2727272727272727,0.18181818181818182,3,0.06060606060606061,0.1049727762162956,9,0.20202020202020202,0.04008714107673621,3,0.2424242424242424,0.052486388108147784,0.1414141414141414
veyru/1780652734,claude-opus-4-7,claude-opus-4-7,closed,250,0.7333333333333333,gpt54,3,0.6363636363636364,0.09090909090909094,3,0.7272727272727273,0.15745916432444343,9,0.47474747474747475,0.09935512915609092,3,0.5151515151515151,0.18924236358783025,-0.25252525252525254
veyru/1780654108,claude-opus-4-7,claude-opus-4-7,closed,250,0.3333333333333333,gpt54,3,0.3939393939393939,0.13886593015017695,3,0.2727272727272727,0.09090909090909091,9,0.24242424242424243,0.11134044285378082,3,0.15151515151515152,0.10497277621629558,-0.030303030303030276
veyru/1780654410,claude-opus-4-7,claude-opus-4-7,closed,250,0.6666666666666666,gpt54,3,0.36363636363636365,0.09090909090909091,3,0.30303030303030304,0.05248638810814781,9,0.2727272727272727,0.045454545454545456,3,0.30303030303030304,0.1049727762162956,-0.03030303030303033
veyru/1781173570,claude-opus-4-7,claude-opus-4-7,closed,250,0.4,gpt54,3,0.30303030303030304,0.13886593015017695,3,0.15151515151515152,0.10497277621629558,9,0.2222222222222222,0.15151515151515152,3,0.2727272727272727,0.09090909090909091,0.07070707070707069
veyru/1781173588,claude-opus-4-7,claude-opus-4-7,closed,250,0.5333333333333333,gpt54,3,0.24242424242424243,0.13886593015017698,3,0.21212121212121213,0.052486388108147784,9,0.24242424242424243,0.06428243465332249,3,0.15151515151515152,0.10497277621629558,0.030303030303030304
veyru/1781173591,claude-opus-4-7,claude-opus-4-7,closed,250,0.4666666666666667,gpt54,3,0.5757575757575757,0.13886593015017698,3,0.5757575757575758,0.18924236358783025,9,0.20202020202020202,0.08834775598250455,3,0.3333333333333333,0.27773186030035396,-0.3737373737373738
veyru/1781173593,claude-opus-4-7,claude-opus-4-7,closed,250,0.4666666666666667,gpt54,3,0.2727272727272727,0.09090909090909091,3,0.3939393939393939,0.052486388108147784,9,0.3232323232323232,0.08017428215347244,3,0.30303030303030304,0.05248638810814781,-0.07070707070707072
veyru/1781173594,claude-opus-4-7,claude-opus-4-7,closed,250,0.4666666666666667,gpt54,3,0.36363636363636365,0.0,3,0.36363636363636365,0.0,9,0.2727272727272727,0.18741389207353004,3,0.2727272727272727,0.09090909090909091,-0.09090909090909094
veyru/1780476965,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.6,gpt54,3,0.4848484848484848,0.18924236358783025,3,0.3939393939393939,0.052486388108147784,9,0.2828282828282828,0.08436006610348519,3,0.5151515151515151,0.052486388108147784,-0.1111111111111111
veyru/1780478036,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.13333333333333333,gpt54,3,0.09090909090909091,0.0,3,0.09090909090909091,0.0,9,0.08080808080808081,0.030303030303030304,3,0.09090909090909091,0.0,-0.010101010101010097
veyru/1780478169,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.06666666666666667,gpt54,3,0.15151515151515152,0.0524863881081478,3,0.12121212121212122,0.0524863881081478,9,0.06060606060606061,0.045454545454545456,3,0.18181818181818182,0.0909090909090909,-0.06060606060606061
veyru/1780478524,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.2,gpt54,3,0.36363636363636365,0.0,3,0.36363636363636365,0.0,9,0.1919191919191919,0.10606060606060605,3,0.3333333333333333,0.05248638810814781,-0.17171717171717174
veyru/1780479757,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.2,gpt54,3,0.09090909090909091,0.09090909090909091,3,0.06060606060606061,0.1049727762162956,9,0.0707070707070707,0.06060606060606061,3,0.2727272727272727,0.0,0.010101010101010097
veyru/1780650845,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.4,gpt54,3,0.36363636363636365,0.2405228464604173,3,0.06060606060606061,0.1049727762162956,9,0.06060606060606061,0.0787295821622217,3,0.06060606060606061,0.0524863881081478,0.0
veyru/1780652668,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.4666666666666667,gpt54,3,0.3939393939393939,0.052486388108147784,3,0.21212121212121213,0.052486388108147784,9,0.24242424242424243,0.13636363636363635,3,0.2727272727272727,0.0,0.030303030303030304
veyru/1780653195,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.5333333333333333,gpt54,3,0.6363636363636364,0.09090909090909094,3,0.5151515151515151,0.1049727762162956,9,0.46464646464646464,0.08436006610348518,3,0.5151515151515151,0.052486388108147784,-0.0505050505050505
veyru/1780653639,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.7333333333333333,gpt54,3,0.6666666666666666,0.10497277621629562,3,0.7272727272727273,0.18181818181818182,9,0.36363636363636365,0.15745916432444337,3,0.4848484848484848,0.10497277621629557,-0.36363636363636365
