run_id,scenario_name,agent_id,agent_role,agent_model,agent_provider,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence
veyru/1777920823,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1777920823,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571879,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571879,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571883,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571883,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571887,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780571887,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780572066,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780572066,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780576077,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780576077,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780576803,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780576803,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780578775,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780578775,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780580283,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780580283,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780585532,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780585532,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780591851,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780591851,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780592371,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780592371,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780595722,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780595722,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780597225,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780597225,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780598642,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780598642,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780602168,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780602168,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780665907,veyru,field_observer,Field Observer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1780665907,veyru,stabilization_engineer,Stabilization Engineer,Qwen/Qwen3-32B,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083377,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083377,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083378,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083378,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083385,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083385,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083391,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083391,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083394,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083394,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083398,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083398,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083399,veyru,field_observer,Field Observer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
veyru/1781083399,veyru,stabilization_engineer,Stabilization Engineer,meta-llama/Llama-3.3-70B-Instruct,self-hosted,,,,,,,,,,,,,,,,,,,,,,
